stadium,date,time,home,guest
Springfield Park,2021-01-15,08:56:07,Kenya,Malta
Springfield Park,2021-04-08,03:32:08,Greenland,Ukraine
Springfield Park,2021-05-19,04:30:45,Angola,Kyrgyzstan
Springfield Park,2021-03-16,00:13:33,North Macedonia,Burkina Faso
Estádio Jair Bittencourt,2021-05-07,04:35:12,Serbia,Liberia
Estádio Jair Bittencourt,2021-02-06,01:52:30,Sweden,North Macedonia
Estádio Jair Bittencourt,2021-04-16,04:12:12,Mauritius,Mongolia
Estádio Jair Bittencourt,2021-01-12,01:04:11,Lebanon,Turkey
Estádio Jair Bittencourt,2021-03-11,10:17:40,San Marino,Fiji
Estádio Jair Bittencourt,2021-03-31,18:05:20,Laos,Ghana
Estádio Jair Bittencourt,2021-03-08,14:48:39,Venezuela,Russia
Estádio Jair Bittencourt,2020-12-09,00:57:12,People's Republic of China,Lithuania
Panayot Volov Stadium,2021-04-23,14:51:57,Sweden,Antigua and Barbuda
Panayot Volov Stadium,2021-03-21,14:43:54,Greenland,New Zealand
Panayot Volov Stadium,2021-04-09,02:25:44,Saudi Arabia,Tanzania
Panayot Volov Stadium,2021-01-19,15:15:38,Czech Republic,Estonia
Panayot Volov Stadium,2021-02-13,09:33:14,Cyprus,Democratic Republic of the Congo
Panayot Volov Stadium,2020-12-20,11:29:04,Pakistan,Slovakia
Tomori Stadium,2021-03-24,06:48:45,Gabon,Faroe Islands
Tomori Stadium,2021-01-13,22:00:10,Burundi,Serbia
Tomori Stadium,2021-02-06,19:43:53,Djibouti,Algeria
Estadio San Martín,2021-01-18,16:25:48,Iraq,Bolivia
Estadio San Martín,2021-01-10,09:00:03,Cuba,Mauritania
Estadio San Martín,2021-02-19,21:44:14,Ivory Coast,France
Estadio San Martín,2021-01-12,20:48:42,Saint Kitts and Nevis,Republic of Abkhazia
Estadio San Martín,2021-02-21,21:46:56,Qatar,Uzbekistan
Estadio San Martín,2021-04-26,11:05:44,Denmark,Guatemala
Estadio San Martín,2021-02-15,08:38:55,Philippines,Suriname
Estadio San Martín,2021-01-09,19:21:16,People's Republic of China,Eritrea
Estadio Mariscal Cáceres,2021-01-09,13:09:57,Peru,Syria
Estadio Mariscal Cáceres,2021-04-26,00:11:39,Trinidad and Tobago,São Tomé and Príncipe
Estadio Mariscal Cáceres,2021-03-23,08:51:31,Luxembourg,Moldova
Estadio Mariscal Cáceres,2021-04-28,01:25:32,Tanzania,Turkmenistan
Estadio Mariscal Cáceres,2021-01-04,03:14:01,Vietnam,Ukraine
Estadio Mariscal Cáceres,2021-03-05,07:28:03,Greece,Ivory Coast
Estadio Mariscal Cáceres,2021-03-06,03:20:00,Cape Verde,Ireland
Estadio Mariscal Cáceres,2021-02-11,20:10:29,Sweden,Georgia
Estadio Mariscal Cáceres,2020-12-17,05:03:00,Uruguay,Saudi Arabia
Estadio Mariscal Cáceres,2021-05-13,11:36:01,Saint Vincent and the Grenadines,Sierra Leone
Cooperage Ground,2020-12-16,10:47:56,People's Republic of China,Kenya
Cooperage Ground,2021-05-18,13:20:08,Spain,Brunei
Cooperage Ground,2021-02-15,03:38:01,Mauritius,Paraguay
Cooperage Ground,2021-04-08,08:39:01,Greenland,Estonia
Cooperage Ground,2021-03-22,09:57:01,San Marino,Guernsey
Cooperage Ground,2021-03-15,20:02:24,Taiwan,Uganda
Cooperage Ground,2021-04-24,09:04:20,Canada,North Macedonia
Cooperage Ground,2021-03-22,00:39:47,Singapore,Mauritania
Cooperage Ground,2020-12-13,08:28:32,Romania,France
Cooperage Ground,2021-02-23,11:09:02,Rwanda,Kuwait
Estadio Etho Vega,2020-12-16,14:53:18,Qatar,Bhutan
Estadio Etho Vega,2021-05-04,06:40:30,Sierra Leone,Ukraine
Estadio Etho Vega,2021-04-16,04:13:57,Saint Kitts and Nevis,Brunei
Estadio Etho Vega,2021-05-12,22:54:47,Egypt,Sweden
Estadio Etho Vega,2021-02-02,22:50:26,India,Syria
Estadio Etho Vega,2020-11-27,21:02:51,Belgium,Italy
Estadio Etho Vega,2020-12-05,20:22:04,Slovakia,Guernsey
Estadio Etho Vega,2020-12-16,05:40:37,Bangladesh,Serbia
Estadio Etho Vega,2021-02-02,16:02:41,Argentina,Zimbabwe
Estadio Etho Vega,2021-03-31,05:08:45,Colombia,Cyprus
Estadio Polideportivo Sur,2020-12-08,14:13:58,Portugal,Fiji
Estadio Polideportivo Sur,2021-03-29,21:08:05,Russia,Libya
Estadio Polideportivo Sur,2020-12-25,05:15:23,Mexico,Ukraine
Estadio Polideportivo Sur,2021-02-19,20:27:09,Norway,Denmark
Estadio Polideportivo Sur,2021-04-18,08:36:24,Papua New Guinea,Netherlands
Estadio Polideportivo Sur,2021-04-16,14:01:33,Egypt,Chile
Estadio Polideportivo Sur,2020-12-21,14:01:33,Saint Kitts and Nevis,Paraguay
Estadio Polideportivo Sur,2021-02-21,08:22:30,Israel,Japan
Foolad Shahr Stadium,2021-03-03,20:51:38,Slovakia,Benin
Foolad Shahr Stadium,2021-01-25,15:55:03,Saint Kitts and Nevis,Algeria
Foolad Shahr Stadium,2020-12-13,15:01:50,Kuwait,Czech Republic
Foolad Shahr Stadium,2021-04-12,03:08:17,Moldova,United States of America
Foolad Shahr Stadium,2020-11-23,13:14:35,Burkina Faso,Laos
Foolad Shahr Stadium,2021-05-19,12:16:42,Ukraine,Lebanon
Foolad Shahr Stadium,2020-12-02,03:56:28,Australia,Singapore
SCG Stadium,2021-02-25,00:21:51,Sri Lanka,Norway
SCG Stadium,2021-04-06,17:28:41,Ethiopia,Morocco
SCG Stadium,2021-05-07,04:21:58,Belgium,Dominican Republic
Vinh Stadium,2021-01-06,09:33:09,Sierra Leone,Uganda
Vinh Stadium,2021-04-29,16:01:01,Panama,North Korea
Vinh Stadium,2021-04-24,22:35:13,Austria,Brunei
Brann Stadion,2020-12-04,05:59:42,Paraguay,Chile
Brann Stadion,2021-03-05,06:25:23,Republic of Abkhazia,State of Palestine
Brann Stadion,2021-02-11,23:49:29,Netherlands,Sri Lanka
Brann Stadion,2020-11-28,19:55:36,São Tomé and Príncipe,Costa Rica
Brann Stadion,2021-01-02,05:06:17,Colombia,Turkmenistan
Brann Stadion,2021-02-19,14:07:53,Iceland,Saint Kitts and Nevis
Brann Stadion,2021-03-08,17:28:09,Paraguay,Iran
Brann Stadion,2020-12-13,23:08:35,Botswana,Australia
Brann Stadion,2021-02-21,04:26:15,Greece,Sweden
Brann Stadion,2021-05-15,00:23:17,Pakistan,Cambodia
Estadio Carlos Belmonte,2021-04-25,10:51:53,Bangladesh,Bulgaria
Estadio Carlos Belmonte,2021-05-20,01:34:32,Mexico,Tunisia
Estadio Carlos Belmonte,2021-01-20,14:34:28,Burundi,Antigua and Barbuda
Estadio Carlos Belmonte,2021-04-28,07:33:50,Cambodia,South Sudan
Estadio Carlos Belmonte,2020-11-27,00:35:55,Jordan,Saint Vincent and the Grenadines
Estadio Carlos Belmonte,2021-03-12,01:53:22,Hungary,Sweden
Estadio Carlos Belmonte,2021-04-16,04:01:43,Dominica,Albania
Estadio Carlos Belmonte,2020-12-22,04:15:05,Singapore,Algeria
Estadio El Helmántico,2021-04-28,09:27:29,Croatia,Gabon
Estadio El Helmántico,2021-04-24,21:17:22,Somalia,Montenegro
Estadio El Helmántico,2021-04-24,04:22:36,Croatia,Cape Verde
Estadio El Helmántico,2021-01-16,03:33:32,Morocco,Israel
Estadio El Helmántico,2021-02-05,09:10:48,Lithuania,Solomon Islands
Estadio El Helmántico,2021-04-23,04:17:01,Somalia,Paraguay
Estadio El Helmántico,2021-04-09,08:53:12,Belarus,Tanzania
Estadio El Helmántico,2021-04-29,07:01:45,Kuwait,Finland
Estadio El Helmántico,2021-05-18,07:24:15,Lebanon,Poland
Cotton Bowl,2020-12-04,21:28:40,Estonia,Uruguay
Cotton Bowl,2020-12-24,19:32:04,Singapore,Japan
Cotton Bowl,2021-02-20,05:41:44,Papua New Guinea,Egypt
Dick's Sporting Goods Park,2020-12-28,07:34:12,Egypt,Cuba
Dick's Sporting Goods Park,2021-03-09,00:44:51,Republic of Abkhazia,British Virgin Islands
Dick's Sporting Goods Park,2021-01-17,11:55:25,Myanmar,Latvia
Dick's Sporting Goods Park,2020-12-14,07:48:09,Japan,Uganda
Dick's Sporting Goods Park,2021-04-12,19:04:15,Cyprus,Curaçao
Dick's Sporting Goods Park,2020-12-21,15:47:35,Venezuela,Fiji
Dick's Sporting Goods Park,2021-04-13,14:06:31,Turkey,Paraguay
Dick's Sporting Goods Park,2021-05-01,00:31:37,Costa Rica,Slovenia
Dick's Sporting Goods Park,2021-05-11,21:15:09,Canada,Mexico
Stadio Paolo Mazza,2021-05-20,13:54:50,Burkina Faso,Finland
Stadio Paolo Mazza,2021-03-18,16:29:15,Greenland,Slovenia
Stadio Paolo Mazza,2020-11-29,05:49:16,Albania,Mauritania
Stadio Paolo Mazza,2021-01-20,21:52:21,Gabon,Turkey
Stadio Paolo Mazza,2021-03-05,17:18:49,Germany,Eritrea
Stadio Paolo Mazza,2021-01-28,02:24:27,Mexico,Suriname
Stadio Paolo Mazza,2020-12-03,20:14:17,Faroe Islands,Solomon Islands
Dire Dawa Stadium,2020-12-29,08:21:33,Botswana,Solomon Islands
Dire Dawa Stadium,2021-04-12,17:31:48,Ethiopia,United States of America
Dire Dawa Stadium,2021-04-30,03:14:09,Somalia,Finland
Dire Dawa Stadium,2021-01-03,14:51:35,Kazakhstan,Mauritius
Dire Dawa Stadium,2020-12-11,07:10:34,Sweden,Malawi
Dire Dawa Stadium,2021-04-06,07:08:03,Ireland,United Arab Emirates
Dire Dawa Stadium,2021-02-18,18:47:58,Australia,Antigua and Barbuda
Dire Dawa Stadium,2021-03-11,08:17:14,Latvia,Jordan
Dire Dawa Stadium,2020-12-30,14:17:51,Bangladesh,Montenegro
Dire Dawa Stadium,2021-03-24,08:32:24,Myanmar,Sierra Leone
Cape Coast Sports Stadium,2020-12-29,05:34:42,Somalia,Eritrea
Cape Coast Sports Stadium,2020-12-06,06:08:26,Faroe Islands,Peru
Cape Coast Sports Stadium,2021-03-03,17:37:17,Australia,Guatemala
Cape Coast Sports Stadium,2021-03-15,15:42:50,Iran,Finland
Avignon Sports Ground,2021-05-09,23:09:15,Kosovo,Czech Republic
Avignon Sports Ground,2021-03-08,08:46:22,Uzbekistan,Brazil
Avignon Sports Ground,2021-05-15,16:44:36,Honduras,Kuwait
Avignon Sports Ground,2020-12-16,21:56:03,Belarus,People's Republic of China
Avignon Sports Ground,2021-03-29,13:21:01,Ireland,Moldova
Avignon Sports Ground,2021-03-27,11:46:29,Democratic Republic of the Congo,New Zealand
Avignon Sports Ground,2021-02-02,22:00:00,Slovenia,Liechtenstein
Tynecastle Park,2021-04-25,02:49:54,Pakistan,Greece
Tynecastle Park,2021-04-13,10:54:35,Fiji,Venezuela
Tynecastle Park,2021-03-24,19:04:43,Republic of Abkhazia,Saudi Arabia
Estádio da Ressacada,2021-04-02,20:50:13,Czech Republic,Rwanda
Estádio da Ressacada,2020-12-15,19:31:53,Dominican Republic,Switzerland
Estádio da Ressacada,2021-03-26,06:04:48,Gabon,Iraq
Estádio da Ressacada,2021-02-13,11:10:17,Mauritania,Nigeria
Estádio da Ressacada,2021-04-04,15:53:31,Belarus,Saudi Arabia
Estádio da Ressacada,2020-12-12,00:40:40,Bahrain,Canada
Estádio da Ressacada,2021-01-05,17:07:27,Spain,Ethiopia
Estádio da Ressacada,2021-04-21,03:44:31,Brazil,Sri Lanka
Traktor Stadium,2021-01-21,19:07:40,Liberia,Uzbekistan
Traktor Stadium,2021-02-27,19:53:57,Poland,Greenland
Traktor Stadium,2021-01-16,10:45:45,Portugal,Belgium
Traktor Stadium,2021-04-21,00:27:22,Turkey,Mongolia
Traktor Stadium,2021-02-15,18:49:43,Dominican Republic,Malawi
Traktor Stadium,2021-02-01,05:56:52,Nigeria,Romania
Traktor Stadium,2021-04-16,18:39:51,Papua New Guinea,Indonesia
Traktor Stadium,2021-02-11,19:43:06,Argentina,Latvia
Traktor Stadium,2021-02-19,00:26:54,Norway,Switzerland
Traktor Stadium,2021-03-19,00:32:33,South Korea,Philippines
Bazaly,2021-02-03,11:04:13,Belgium,Croatia
Bazaly,2020-12-11,13:52:33,Sierra Leone,Lithuania
Bazaly,2021-02-22,13:06:17,Iraq,Zambia
Eighth Kilometer District Stadium,2021-01-11,10:21:55,Iraq,South Korea
Eighth Kilometer District Stadium,2021-01-20,02:09:44,Armenia,Argentina
Eighth Kilometer District Stadium,2020-12-12,03:05:29,Gabon,El Salvador
Eighth Kilometer District Stadium,2021-01-24,23:27:39,Kuwait,Iraq
Eighth Kilometer District Stadium,2020-12-31,17:04:31,Sierra Leone,Guyana
Eighth Kilometer District Stadium,2020-12-22,15:07:45,Ireland,Kuwait
Eighth Kilometer District Stadium,2021-01-12,19:30:13,Brazil,Burkina Faso
Haji Agus Salim Stadium,2021-02-28,12:18:13,Guatemala,Russia
Haji Agus Salim Stadium,2021-02-06,03:38:13,Estonia,Grenada
Haji Agus Salim Stadium,2021-04-10,02:21:03,Zambia,Guernsey
Haji Agus Salim Stadium,2021-02-08,00:09:52,Botswana,Chile
Haji Agus Salim Stadium,2020-12-25,15:24:15,Somalia,Uganda
Haji Agus Salim Stadium,2021-05-07,21:10:36,Saint Kitts and Nevis,Malaysia
Haji Agus Salim Stadium,2020-11-26,08:55:11,Taiwan,Azerbaijan
Haji Agus Salim Stadium,2021-04-15,12:12:28,Norway,Rwanda
Haji Agus Salim Stadium,2021-04-05,18:33:21,Botswana,Grenada
Estadio Alejandro Morera Soto,2021-02-21,08:04:43,Tunisia,Angola
Estadio Alejandro Morera Soto,2021-02-14,23:55:49,Fiji,Kosovo
Estadio Alejandro Morera Soto,2021-01-04,20:32:47,Cameroon,Sudan
Estadio Alejandro Morera Soto,2020-12-22,04:44:35,Grenada,Suriname
Estadio Alejandro Morera Soto,2021-01-25,05:21:26,Venezuela,Montenegro
Estadio Alejandro Morera Soto,2021-04-18,08:48:36,Bhutan,New Zealand
Estádio 4 de Janeiro,2021-01-26,03:21:44,Belgium,Dominica
Estádio 4 de Janeiro,2021-04-18,06:31:48,Ethiopia,Argentina
Estádio 4 de Janeiro,2021-04-12,08:26:47,Indonesia,Grenada
Estádio 4 de Janeiro,2021-04-20,14:15:52,Grenada,Estonia
Estádio 4 de Janeiro,2021-02-26,16:40:05,Lebanon,People's Republic of China
Estádio 4 de Janeiro,2021-05-12,20:07:19,Guernsey,Liberia
Estádio 4 de Janeiro,2021-04-17,00:10:40,Trinidad and Tobago,Vietnam
Estádio 4 de Janeiro,2020-12-07,06:15:49,Myanmar,Malawi
Estádio 4 de Janeiro,2021-02-06,05:03:46,Mexico,Belgium
Banadir Stadium,2020-12-01,11:17:30,Ghana,Myanmar
Banadir Stadium,2021-04-30,22:24:49,Portugal,Mexico
Banadir Stadium,2021-02-20,19:30:11,Sweden,Spain
Banadir Stadium,2021-02-23,00:11:30,Vietnam,Spain
Banadir Stadium,2021-04-10,05:29:15,Malta,Australia
Banadir Stadium,2021-05-04,20:39:32,Fiji,Sudan
Banadir Stadium,2021-02-08,08:19:49,United States of America,Benin
Banadir Stadium,2021-01-06,11:22:22,Romania,Georgia
Northlands Coliseum,2021-05-18,09:13:37,Grenada,Laos
Northlands Coliseum,2021-03-08,05:15:33,Republic of Abkhazia,Gabon
Northlands Coliseum,2021-01-07,08:54:28,São Tomé and Príncipe,Suriname
Northlands Coliseum,2021-03-04,16:27:46,São Tomé and Príncipe,Laos
Northlands Coliseum,2021-04-27,13:30:12,Mauritania,Gabon
Northlands Coliseum,2020-11-30,03:42:33,Nepal,Paraguay
Northlands Coliseum,2021-04-04,06:07:05,Greenland,Cambodia
Estadio Multiusos de San Lázaro,2021-02-02,17:09:13,Iran,Norway
Estadio Multiusos de San Lázaro,2021-04-09,18:08:54,Kazakhstan,Benin
Estadio Multiusos de San Lázaro,2021-01-15,20:42:34,Mauritius,Vietnam
Estadio Multiusos de San Lázaro,2021-03-02,19:55:48,Brazil,Pakistan
Estadio Multiusos de San Lázaro,2021-05-01,01:03:14,Greenland,Morocco
Estadio Multiusos de San Lázaro,2021-02-08,15:23:28,Chile,Netherlands
Estadio Multiusos de San Lázaro,2020-12-05,00:49:28,Bahrain,Algeria
Estadio Multiusos de San Lázaro,2020-11-30,13:46:19,Israel,Italy
Estadio Multiusos de San Lázaro,2021-05-08,03:29:04,Greece,Sudan
Estadio Multiusos de San Lázaro,2020-11-30,21:15:45,Morocco,United Arab Emirates
Estadio Santiago Bernabéu,2021-05-03,01:59:43,Uruguay,Pakistan
Estadio Santiago Bernabéu,2021-05-08,05:46:01,Ghana,Kenya
Estadio Santiago Bernabéu,2021-01-05,11:27:10,Kuwait,Iceland
Estadio Santiago Bernabéu,2020-11-26,20:12:34,Guatemala,Armenia
Campos de Sport de El Sardinero,2021-03-09,23:21:01,Sierra Leone,Vietnam
Campos de Sport de El Sardinero,2021-01-13,16:09:52,Republic of Abkhazia,São Tomé and Príncipe
Campos de Sport de El Sardinero,2021-03-25,08:43:40,Guatemala,Austria
BBVA Stadium,2021-03-10,11:57:10,Cuba,Cameroon
BBVA Stadium,2021-01-08,16:31:38,France,Bosnia and Herzegovina
BBVA Stadium,2021-02-16,23:26:55,Djibouti,Slovakia
Pontiac Silverdome,2021-03-26,09:49:58,South Sudan,El Salvador
Pontiac Silverdome,2021-01-01,08:14:11,Suriname,Guatemala
Pontiac Silverdome,2020-12-07,20:28:10,Iran,Syria
Pontiac Silverdome,2021-05-05,12:20:09,Cape Verde,Denmark
Honda Center,2021-04-04,12:35:48,Venezuela,Paraguay
Honda Center,2021-02-10,13:04:00,Uzbekistan,Malawi
Honda Center,2021-01-17,01:15:10,Indonesia,New Zealand
Honda Center,2021-04-27,05:14:18,Estonia,El Salvador
Honda Center,2021-01-06,11:51:02,Paraguay,Nigeria
Honda Center,2021-01-30,17:00:26,Zimbabwe,Mongolia
Honda Center,2021-02-01,02:22:11,North Korea,Armenia
Honda Center,2021-01-15,13:54:35,Latvia,Jordan
Tampere Stadium,2021-02-19,17:23:13,Indonesia,United Kingdom
Tampere Stadium,2021-02-19,01:46:39,Iran,Guatemala
Tampere Stadium,2021-02-14,15:42:40,Saint Kitts and Nevis,Mali
Tampere Stadium,2020-11-26,01:46:10,Pakistan,Bahrain
Tampere Stadium,2021-01-09,05:18:46,Eritrea,Singapore
Tampere Stadium,2021-05-12,14:47:57,Dominica,Estonia
Olympia,2020-12-18,22:07:47,Jordan,Pakistan
Olympia,2021-01-27,23:57:37,Burkina Faso,Greece
Olympia,2020-11-26,21:50:42,Belgium,Jordan
Olympia,2021-02-24,03:27:13,Papua New Guinea,Georgia
Olympia,2020-12-27,12:54:19,Indonesia,Gabon
Sardegna Arena,2020-12-25,01:16:09,Nigeria,Jordan
Sardegna Arena,2021-01-15,18:58:07,The Gambia,Mauritania
Sardegna Arena,2020-12-04,23:31:56,Grenada,Croatia
Sardegna Arena,2020-12-05,14:50:12,Mauritania,Chile
Sardegna Arena,2020-12-08,02:16:51,Ivory Coast,Austria
Swissporarena,2021-03-24,02:12:29,Uzbekistan,United Kingdom
Swissporarena,2021-01-06,01:19:56,India,Ghana
Swissporarena,2020-12-21,08:06:57,Curaçao,Chile
Swissporarena,2020-12-19,07:14:28,Denmark,Ghana
Swissporarena,2021-03-26,11:21:22,Republic of Abkhazia,Honduras
Swissporarena,2021-04-17,19:58:12,Afghanistan,Pakistan
Swissporarena,2020-12-20,14:14:24,New Zealand,Trinidad and Tobago
Swissporarena,2021-04-18,04:58:11,Gabon,Ireland
Swissporarena,2021-04-07,21:23:16,Sri Lanka,Turkey
Olympic Stadium,2020-11-24,08:08:23,Switzerland,Iraq
Olympic Stadium,2021-01-17,23:47:54,Montenegro,Grenada
Olympic Stadium,2020-12-01,15:54:29,Serbia,People's Republic of China
Olympic Stadium,2021-01-05,16:36:55,Angola,Portugal
Olympic Stadium,2021-01-04,08:32:25,North Korea,Cameroon
Kleanthis Vikelidis Stadium,2020-11-25,11:32:49,Tajikistan,Uganda
Kleanthis Vikelidis Stadium,2021-04-28,22:30:31,Kazakhstan,Portugal
Kleanthis Vikelidis Stadium,2020-12-03,02:31:32,Sierra Leone,Serbia
Kleanthis Vikelidis Stadium,2020-11-23,11:31:28,Antigua and Barbuda,Philippines
Kleanthis Vikelidis Stadium,2020-11-25,14:56:50,Brunei,Tanzania
Kleanthis Vikelidis Stadium,2021-01-17,21:48:29,United Kingdom,Peru
Kleanthis Vikelidis Stadium,2021-05-08,09:29:55,Slovakia,Armenia
Atatürk Olympic Stadium,2021-01-07,08:12:56,Romania,Mauritania
Atatürk Olympic Stadium,2020-12-29,07:41:35,Malawi,Papua New Guinea
Atatürk Olympic Stadium,2020-12-18,08:35:54,Saint Lucia,Georgia
Gaziantep Kamil Ocak Stadium,2021-03-07,20:09:07,Armenia,Mauritius
Gaziantep Kamil Ocak Stadium,2021-01-25,12:27:48,Ireland,Uruguay
Gaziantep Kamil Ocak Stadium,2021-04-06,13:50:48,Singapore,Zambia
Gaziantep Kamil Ocak Stadium,2021-02-24,00:25:57,Armenia,Taiwan
İsmet Paşa Stadium,2020-12-01,23:49:43,Cuba,Somalia
İsmet Paşa Stadium,2020-12-03,22:55:50,Solomon Islands,Uganda
İsmet Paşa Stadium,2021-02-27,23:42:55,Latvia,Ireland
İsmet Paşa Stadium,2020-11-27,01:50:11,United Kingdom,Moldova
İsmet Paşa Stadium,2020-11-27,00:53:20,Republic of Abkhazia,Austria
İsmet Paşa Stadium,2020-12-10,08:41:47,Romania,Estonia
İsmet Paşa Stadium,2021-02-04,05:58:43,Ukraine,Curaçao
İsmet Paşa Stadium,2021-03-02,16:28:29,Malaysia,Netherlands
Zeytinburnu Stadium,2021-05-14,03:08:57,Saint Lucia,Indonesia
Zeytinburnu Stadium,2021-03-09,07:00:57,Romania,Papua New Guinea
Zeytinburnu Stadium,2020-12-20,01:27:43,Kenya,Morocco
Zeytinburnu Stadium,2021-04-11,19:14:54,Japan,Lithuania
Zeytinburnu Stadium,2021-05-15,23:29:04,South Sudan,Slovakia
AFAS Stadion,2021-02-24,08:14:02,Uruguay,Bahrain
AFAS Stadion,2021-03-15,10:02:23,Taiwan,Montenegro
AFAS Stadion,2020-12-09,15:11:34,Algeria,Ecuador
AFAS Stadion,2021-01-05,05:30:09,Australia,Botswana
AFAS Stadion,2021-05-02,02:13:04,Curaçao,Philippines
AFAS Stadion,2021-02-13,09:22:01,Sri Lanka,Germany
AFAS Stadion,2020-12-27,19:13:00,Somalia,Tanzania
AFAS Stadion,2021-01-11,21:55:01,Indonesia,Honduras
Euroborg,2020-12-29,19:21:40,Cuba,Dominican Republic
Euroborg,2021-05-03,18:20:33,Bosnia and Herzegovina,Montenegro
Euroborg,2021-02-23,22:58:52,Nepal,Malta
Euroborg,2020-12-14,14:01:52,Somalia,Vietnam
Euroborg,2021-03-18,18:45:18,Cape Verde,Mexico
Euroborg,2021-03-04,21:48:44,Guatemala,Hungary
Euroborg,2021-04-25,07:52:04,Ireland,Zimbabwe
Euroborg,2021-03-15,02:06:07,Lithuania,Slovenia
Cairo International Stadium,2021-02-14,18:56:14,Albania,Laos
Cairo International Stadium,2021-04-28,10:30:36,Democratic Republic of the Congo,Gabon
Cairo International Stadium,2021-04-11,07:06:09,Japan,Dominica
Aluminium Stadium,2021-03-07,10:49:06,Burundi,Greenland
Aluminium Stadium,2020-11-23,10:27:12,Estonia,Papua New Guinea
Aluminium Stadium,2021-01-24,10:22:30,Cape Verde,Tajikistan
Bahir Dar Stadium,2021-03-22,00:21:19,Dominica,Vietnam
Bahir Dar Stadium,2021-03-08,12:05:06,Philippines,Tunisia
Bahir Dar Stadium,2021-02-19,17:50:21,Luxembourg,Malta
Bahir Dar Stadium,2021-04-30,05:16:08,Botswana,San Marino
Bahir Dar Stadium,2020-12-14,11:16:08,Belgium,Mongolia
Stade Parsemain,2021-02-15,11:04:01,Bhutan,Cameroon
Stade Parsemain,2020-12-14,04:59:18,Kenya,Brazil
Stade Parsemain,2021-01-14,02:48:30,Liberia,São Tomé and Príncipe
Stade Parsemain,2021-04-26,00:18:08,United Arab Emirates,Mali
Stade Parsemain,2021-05-01,17:00:39,United States of America,Curaçao
Stade Parsemain,2021-02-27,07:18:20,Canada,Germany
Stade Parsemain,2020-11-26,06:05:10,São Tomé and Príncipe,Sierra Leone
Wembley Stadium,2020-12-18,05:14:03,Ecuador,Kosovo
Wembley Stadium,2021-04-18,21:31:51,Turkey,Cape Verde
Wembley Stadium,2021-01-05,00:00:07,People's Republic of China,Nigeria
Wembley Stadium,2021-05-18,18:34:09,State of Palestine,People's Republic of China
Old Trafford,2021-04-29,21:15:08,South Africa,Paraguay
Old Trafford,2021-01-24,22:19:22,Suriname,Algeria
Old Trafford,2020-12-03,06:05:16,Angola,Bulgaria
Old Trafford,2021-05-17,16:31:21,Faroe Islands,Slovenia
Old Trafford,2020-12-25,13:43:14,Greenland,Jordan
